Game,Date | Box,Opponent,Score,Decision,Record
1,3/30/2023,vs Baltimore Orioles,10 9,L,0-1
2,4/1/2023,vs Baltimore Orioles,8 9,W,1-Jan
3,4/2/2023,vs Baltimore Orioles,5 9,W,1-Feb
4,4/3/2023,vs Pittsburgh Pirates,7 6,L,2-Feb
5,4/4/2023,vs Pittsburgh Pirates,4 1,L,3-Feb
6,4/5/2023,vs Pittsburgh Pirates,4 1,L,4-Feb
7,4/6/2023,at Detroit Tigers,3 6,W,4-Mar
8,4/8/2023,at Detroit Tigers,14 5,W,4-Apr
9,4/9/2023,at Detroit Tigers,1 4,W,4-May
10,4/10/2023,at Tampa Bay Rays,0 1,L,5-May
11,4/11/2023,at Tampa Bay Rays,7 2,L,6-May
12,4/12/2023,at Tampa Bay Rays,9 7,L,7-May
13,4/13/2023,at Tampa Bay Rays,9 3,L,8-May
14,4/14/2023,vs Los Angeles Angels,3 5,W,8-Jun
15,4/15/2023,vs Los Angeles Angels,7 9,W,8-Jul
16,4/16/2023,vs Los Angeles Angels,1 2,W,8-Aug
17,4/17/2023,vs Los Angeles Angels,5 4,L,9-Aug
18,4/18/2023,vs Minnesota Twins,4 5,W,9-Sep
19,4/19/2023,vs Minnesota Twins,10 4,L,10-Sep
20,4/20/2023,vs Minnesota Twins,5 11,W,10-Oct
21,4/21/2023,at Milwaukee Brewers,3 5,W,10-Nov
22,4/22/2023,at Milwaukee Brewers,5 4,L,11-Nov
23,4/23/2023,at Milwaukee Brewers,5 12,W,11-Dec
24,4/24/2023,at Baltimore Orioles,5 4,L,12-Dec
25,4/25/2023,at Baltimore Orioles,6 8,W,13-12
26,4/26/2023,at Baltimore Orioles,6 2,L,13-13
27,4/28/2023,vs Cleveland Guardians,5 2,L,13-14
28,4/29/2023,vs Cleveland Guardians,7 8,W,14-14
29,4/30/2023,vs Cleveland Guardians,1 7,W,15-14
30,5/1/2023,vs Toronto Blue Jays,5 6,W,16-14
31,5/2/2023,vs Toronto Blue Jays,6 7,W,17-14
32,5/3/2023,vs Toronto Blue Jays,3 8,W,18-14
33,5/4/2023,vs Toronto Blue Jays,5 11,W,19-14
34,5/5/2023,at Philadelphia Phillies,3 5,W,20-14
35,5/6/2023,at Philadelphia Phillies,4 7,W,21-14
36,5/7/2023,at Philadelphia Phillies,6 1,L,21-15
37,5/9/2023,at Atlanta Braves,9 3,L,21-16
38,5/10/2023,at Atlanta Braves,2 5,W,22-16
39,5/12/2023,vs St. Louis Cardinals,8 6,L,22-17
40,5/13/2023,vs St. Louis Cardinals,4 3,L,22-18
41,5/14/2023,vs St. Louis Cardinals,9 1,L,22-19
42,5/15/2023,vs Seattle Mariners,10 1,L,22-20
43,5/16/2023,vs Seattle Mariners,4 9,W,23-20
44,5/17/2023,vs Seattle Mariners,3 12,W,24-20
45,5/19/2023,at San Diego Padres,1 6,W,25-20
46,5/20/2023,at San Diego Padres,2 4,W,26-20
47,5/21/2023,at San Diego Padres,0 7,L,26-21
48,5/22/2023,at Los Angeles Angels,2 1,L,26-22
49,5/23/2023,at Los Angeles Angels,0 4,L,26-23
50,5/24/2023,at Los Angeles Angels,7 3,L,26-24
51,5/26/2023,at Arizona Diamondbacks,2 7,W,27-24
52,5/27/2023,at Arizona Diamondbacks,1 2,W,28-24
53,5/28/2023,at Arizona Diamondbacks,4 2,L,28-25
54,5/30/2023,vs Cincinnati Reds,9 8,L,28-26
55,5/31/2023,vs Cincinnati Reds,5 4,L,28-27
56,6/1/2023,vs Cincinnati Reds,2 8,W,29-27
57-I,6/3/2023,vs Tampa Bay Rays,5 8,W,30-27
58-II,6/3/2023,vs Tampa Bay Rays,4 2,L,30-28
59,6/4/2023,vs Tampa Bay Rays,6 2,L,30-29
60,6/5/2023,vs Tampa Bay Rays,4 1,L,30-30
61,6/6/2023,at Cleveland Guardians,4 5,W,31-30
62,6/7/2023,at Cleveland Guardians,5 2,L,31-31
63,6/8/2023,at Cleveland Guardians,10 3,L,31-32
64,6/9/2023,at New York Yankees,2 3,W,32-32
65,6/10/2023,at New York Yankees,2 1,L,32-33
66,6/11/2023,at New York Yankees,2 3,W,33-33
67,6/12/2023,vs Colorado Rockies,4 3,L,33-34
68,6/13/2023,vs Colorado Rockies,7 6,L,33-35
69,6/14/2023,vs Colorado Rockies,3 6,W,34-35
70,6/16/2023,vs New York Yankees,15 5,W,35-35
71-I,6/18/2023,vs New York Yankees,2 6,W,36-35
72-II,6/18/2023,vs New York Yankees,1 4,W,37-35
73,6/19/2023,at Minnesota Twins,3 9,W,38-35
74,6/20/2023,at Minnesota Twins,4 10,W,39-35
75,6/21/2023,at Minnesota Twins,5 4,L,39-36
76,6/22/2023,at Minnesota Twins,0 6,L,39-37
77,6/23/2023,at Chicago White Sox,1 3,W,40-37
78,6/24/2023,at Chicago White Sox,5 4,L,40-38
